store_id,item_id,method,coverage,avg_interval_width,mean_cost,cvar_90,cvar_95,service_level,total_cost
2,5,Normal_CVaR,0.9260273972602739,19.17613461349462,370.70665854809,552.1613958913687,652.8741081906111,0.9013698630136986,135307.93037005284
2,5,SAA,,,379.86265170048773,534.2009571883766,615.2258212718357,0.9424657534246575,138649.86787067802
2,5,MCDropout_LSTM,0.9041095890410958,33.9579934085025,411.5307246265762,684.7948585962038,836.1653070341293,0.873972602739726,150208.71448870032
3,1,Conformal_CVaR,0.9232876712328767,19.689841430952928,391.43804718334064,550.9842072395345,621.2770861905167,0.9205479452054794,142874.88722191934
3,1,Normal_CVaR,0.9205479452054794,19.37069363091629,390.3524590111383,553.8327820073633,626.9017321004462,0.9095890410958904,142478.64753906548
3,1,SAA,,,394.6497753479886,543.6420672742926,605.7583947113659,0.9232876712328767,144047.16800201585
3,1,MCDropout_LSTM,0.8986301369863013,35.208598758438804,427.85418775196194,707.7218462113186,858.5434613501621,0.8712328767123287,156166.7785294661
3,2,Conformal_CVaR,0.9260273972602739,36.97935134518925,946.9480786070569,1333.9732752515838,1490.7461915855906,0.9342465753424658,345636.04869157576
3,2,Normal_CVaR,0.9260273972602739,35.06319303712604,939.7783273562907,1348.2104921102512,1524.5715462181445,0.9315068493150684,343019.0894850461
3,2,SAA,,,945.0971520934405,1336.3725147912578,1498.5858520456875,0.9315068493150684,344960.4605141058
3,2,MCDropout_LSTM,0.8821917808219178,129.2487410477777,1068.8900546960492,1825.319902948909,2087.733010734243,0.8,390144.8699640579
3,3,Conformal_CVaR,0.9178082191780822,26.743644351696354,616.6020836538642,858.2065866891649,967.564491997459,0.915068493150685,225059.76053366042
3,3,Normal_CVaR,0.9068493150684932,25.856739045378227,613.6283704043952,865.0069257390041,980.7668297957704,0.915068493150685,223974.35519760428
3,3,SAA,,,623.0482308298939,847.7564515441655,944.8549891274374,0.9260273972602739,227412.60425291126
3,3,MCDropout_LSTM,0.9178082191780822,66.0406150879349,665.3343477617034,1000.9890697382185,1182.265704094179,0.8410958904109589,242847.03693302174
3,4,Conformal_CVaR,0.9287671232876712,19.312675804068743,384.72856561380905,557.7624748086068,631.8550217661091,0.9068493150684932,140425.9264490403
3,4,Normal_CVaR,0.9342465753424658,19.576416418362783,385.56502347011707,556.1550195482653,627.8881382360164,0.9123287671232877,140731.23356659274
3,4,SAA,,,387.77078643064954,551.8113765221559,617.1375990650317,0.9205479452054794,141536.3370471871
3,4,MCDropout_LSTM,0.9013698630136986,36.00627262135565,431.3983743196784,660.7848488848849,766.7042251075031,0.8602739726027397,157460.4066266826
3,5,Conformal_CVaR,0.9205479452054794,17.218982926321083,328.346133824376,460.6417921856386,502.0077200327362,0.9205479452054794,119846.33884589725
